fill	x	y	key	showSelectedlegendcolourfill
#FF0000	0.0420629114850037	0.232152588555858	glmnet 1	glmnet
#0000FF	0.240916849548891	0.864305177111717	xgboost 1	xgboost
#000000	0	0	major.class 1	major.class
#FF0000	0.0382134599002069	0.268131868131868	glmnet 2	glmnet
#0000FF	0.241085554338566	0.887912087912088	xgboost 2	xgboost
#000000	0	0	major.class 2	major.class
#FF0000	0.0384708444229373	0.266101694915254	glmnet 3	glmnet
#0000FF	0.238930558916042	0.87683615819209	xgboost 3	xgboost
#000000	0	0	major.class 3	major.class
#FF0000	0.0385698542916616	0.249331193151418	glmnet 4	glmnet
#0000FF	0.246724623484756	0.868913857677903	xgboost 4	xgboost
#000000	0	0	major.class 4	major.class
#FF0000	0.0364874726343955	0.255237045203969	glmnet 5	glmnet
#0000FF	0.240209194843104	0.880374862183021	xgboost 5	xgboost
#000000	0	0	major.class 5	major.class
#FF0000	0.0388848129126926	0.258880516684607	glmnet 6	glmnet
#0000FF	0.236488138909269	0.8745963401507	xgboost 6	xgboost
#000000	0	0	major.class 6	major.class
#FF0000	0.0429425399536416	0.267536704730832	glmnet 7	glmnet
#0000FF	0.242893741612785	0.87710712343665	xgboost 7	xgboost
#000000	0	0	major.class 7	major.class
#FF0000	0.0394546332046332	0.258581235697941	glmnet 8	glmnet
#0000FF	0.244811776061776	0.877574370709382	xgboost 8	xgboost
#000000	0	0	major.class 8	major.class
#FF0000	0.0420937042459737	0.258695652173913	glmnet 9	glmnet
#0000FF	0.246339677891655	0.879347826086957	xgboost 9	xgboost
#000000	0	0	major.class 9	major.class
#FF0000	0.0420629114850037	0.232152588555858	glmnet 1	glmnet
#0000FF	0.240916849548891	0.864305177111717	xgboost 1	xgboost
#000000	0	0	major.class 1	major.class
#FF0000	0.0382134599002069	0.268131868131868	glmnet 2	glmnet
#0000FF	0.241085554338566	0.887912087912088	xgboost 2	xgboost
#000000	0	0	major.class 2	major.class
#FF0000	0.0384708444229373	0.266101694915254	glmnet 3	glmnet
#0000FF	0.238930558916042	0.87683615819209	xgboost 3	xgboost
#000000	0	0	major.class 3	major.class
#FF0000	0.0385698542916616	0.249331193151418	glmnet 4	glmnet
#0000FF	0.246724623484756	0.868913857677903	xgboost 4	xgboost
#000000	0	0	major.class 4	major.class
#FF0000	0.0364874726343955	0.255237045203969	glmnet 5	glmnet
#0000FF	0.240209194843104	0.880374862183021	xgboost 5	xgboost
#000000	0	0	major.class 5	major.class
#FF0000	0.0388848129126926	0.258880516684607	glmnet 6	glmnet
#0000FF	0.236488138909269	0.8745963401507	xgboost 6	xgboost
#000000	0	0	major.class 6	major.class
#FF0000	0.0429425399536416	0.267536704730832	glmnet 7	glmnet
#0000FF	0.242893741612785	0.87710712343665	xgboost 7	xgboost
#000000	0	0	major.class 7	major.class
#FF0000	0.0394546332046332	0.258581235697941	glmnet 8	glmnet
#0000FF	0.244811776061776	0.877574370709382	xgboost 8	xgboost
#000000	0	0	major.class 8	major.class
#FF0000	0.0420937042459737	0.258695652173913	glmnet 9	glmnet
#0000FF	0.246339677891655	0.879347826086957	xgboost 9	xgboost
#000000	0	0	major.class 9	major.class
