fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#FF0000	0.734942696903194	0.999455040871935	glmnet 1 73	glmnet	glmnet	73
#FF0000	0.744940258473543	0.999455040871935	glmnet 1 74	glmnet	glmnet	74
#FF0000	0.754937820043892	1	glmnet 1 75	glmnet	glmnet	75
#FF0000	0.764935381614241	1	glmnet 1 76	glmnet	glmnet	76
#FF0000	0.774932943184589	1	glmnet 1 77	glmnet	glmnet	77
#FF0000	0.784930504754938	1	glmnet 1 78	glmnet	glmnet	78
#FF0000	0.794928066325287	1	glmnet 1 79	glmnet	glmnet	79
#FF0000	0.804925627895635	1	glmnet 1 80	glmnet	glmnet	80
#FF0000	0.814923189465984	1	glmnet 1 81	glmnet	glmnet	81
#FF0000	0.824920751036333	1	glmnet 1 82	glmnet	glmnet	82
#FF0000	0.834918312606681	1	glmnet 1 83	glmnet	glmnet	83
#FF0000	0.84491587417703	1	glmnet 1 84	glmnet	glmnet	84
#FF0000	0.854913435747379	1	glmnet 1 85	glmnet	glmnet	85
#FF0000	0.864910997317727	1	glmnet 1 86	glmnet	glmnet	86
#FF0000	0.874908558888076	1	glmnet 1 87	glmnet	glmnet	87
#FF0000	0.884906120458425	1	glmnet 1 88	glmnet	glmnet	88
#FF0000	0.894903682028773	1	glmnet 1 89	glmnet	glmnet	89
#FF0000	0.904901243599122	1	glmnet 1 90	glmnet	glmnet	90
#FF0000	0.914898805169471	1	glmnet 1 91	glmnet	glmnet	91
#FF0000	0.92489636673982	1	glmnet 1 92	glmnet	glmnet	92
#FF0000	0.934893928310168	1	glmnet 1 93	glmnet	glmnet	93
#FF0000	0.944891489880517	1	glmnet 1 94	glmnet	glmnet	94
#FF0000	0.954889051450866	1	glmnet 1 95	glmnet	glmnet	95
#FF0000	0.964886613021214	1	glmnet 1 96	glmnet	glmnet	96
#FF0000	0.974884174591563	1	glmnet 1 97	glmnet	glmnet	97
#FF0000	0.984881736161912	1	glmnet 1 98	glmnet	glmnet	98
#FF0000	0.99487929773226	1	glmnet 1 99	glmnet	glmnet	99
#FF0000	1	1	glmnet 1 100	glmnet	glmnet	100
#000000	0	0	major.class 1 0	major.class	major.class	0
#000000	1	1	major.class 1 100	major.class	major.class	100
#0000FF	0	0	xgboost 1 0	xgboost	xgboost	0
#0000FF	0.014996342355523	0.1858310626703	xgboost 1 1	xgboost	xgboost	1
#0000FF	0.0249939039258717	0.273024523160763	xgboost 1 2	xgboost	xgboost	2
#0000FF	0.0349914654962204	0.342779291553133	xgboost 1 3	xgboost	xgboost	3
#0000FF	0.0449890270665691	0.383106267029973	xgboost 1 4	xgboost	xgboost	4
#0000FF	0.0549865886369178	0.431607629427793	xgboost 1 5	xgboost	xgboost	5
#0000FF	0.0649841502072665	0.471389645776567	xgboost 1 6	xgboost	xgboost	6
#0000FF	0.0749817117776152	0.506267029972752	xgboost 1 7	xgboost	xgboost	7
#0000FF	0.0849792733479639	0.544959128065395	xgboost 1 8	xgboost	xgboost	8
#0000FF	0.0949768349183126	0.574931880108992	xgboost 1 9	xgboost	xgboost	9
#0000FF	0.104974396488661	0.607629427792916	xgboost 1 10	xgboost	xgboost	10
#0000FF	0.11497195805901	0.63433242506812	xgboost 1 11	xgboost	xgboost	11
#0000FF	0.124969519629359	0.655040871934605	xgboost 1 12	xgboost	xgboost	12
#0000FF	0.134967081199707	0.678474114441417	xgboost 1 13	xgboost	xgboost	13
#0000FF	0.144964642770056	0.699182561307902	xgboost 1 14	xgboost	xgboost	14
