linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#4D4D4D	#0000FF	0.5	1.5	0	590	xgboost 1 positive	error	positive	xgboost	13	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8930	10037	xgboost 1 negative	error	negative	xgboost	13	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	552	xgboost 1 positive	error	positive	xgboost	14	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8848	10037	xgboost 1 negative	error	negative	xgboost	14	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	517	xgboost 1 positive	error	positive	xgboost	15	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8766	10037	xgboost 1 negative	error	negative	xgboost	15	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	474	xgboost 1 positive	error	positive	xgboost	16	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8684	10037	xgboost 1 negative	error	negative	xgboost	16	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	446	xgboost 1 positive	error	positive	xgboost	17	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8602	10037	xgboost 1 negative	error	negative	xgboost	17	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	407	xgboost 1 positive	error	positive	xgboost	18	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8520	10037	xgboost 1 negative	error	negative	xgboost	18	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	370	xgboost 1 positive	error	positive	xgboost	19	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8438	10037	xgboost 1 negative	error	negative	xgboost	19	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	338	xgboost 1 positive	error	positive	xgboost	20	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8356	10037	xgboost 1 negative	error	negative	xgboost	20	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	309	xgboost 1 positive	error	positive	xgboost	21	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8274	10037	xgboost 1 negative	error	negative	xgboost	21	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	288	xgboost 1 positive	error	positive	xgboost	22	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8192	10037	xgboost 1 negative	error	negative	xgboost	22	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	260	xgboost 1 positive	error	positive	xgboost	23	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8110	10037	xgboost 1 negative	error	negative	xgboost	23	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	242	xgboost 1 positive	error	positive	xgboost	24	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	8028	10037	xgboost 1 negative	error	negative	xgboost	24	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	215	xgboost 1 positive	error	positive	xgboost	25	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7946	10037	xgboost 1 negative	error	negative	xgboost	25	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	199	xgboost 1 positive	error	positive	xgboost	26	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7864	10037	xgboost 1 negative	error	negative	xgboost	26	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	183	xgboost 1 positive	error	positive	xgboost	27	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7782	10037	xgboost 1 negative	error	negative	xgboost	27	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	165	xgboost 1 positive	error	positive	xgboost	28	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	7700	10037	xgboost 1 negative	error	negative	xgboost	28	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	155	xgboost 1 positive	error	positive	xgboost	29	xgboost	1
