x	y	key	label	showSelected.variable	showSelected.value	showSelected2	PANEL	group	anchor
19.6229573535273	2	glmnet	18.149 +/- 0.394	glmnet	100	glmnet	1	2	start
20.031486648067	2	glmnet	18.563 +/- 0.391	glmnet	99	glmnet	1	2	start
20.8485452371463	2	glmnet	19.381 +/- 0.388	glmnet	98	glmnet	1	2	start
21.6656038262256	2	glmnet	20.200 +/- 0.384	glmnet	97	glmnet	1	2	start
22.4726982861698	2	glmnet	21.018 +/- 0.379	glmnet	96	glmnet	1	2	start
23.2897568752491	2	glmnet	21.835 +/- 0.379	glmnet	95	glmnet	1	2	start
24.1068154643284	2	glmnet	22.655 +/- 0.374	glmnet	94	glmnet	1	2	start
24.9139099242726	2	glmnet	23.474 +/- 0.368	glmnet	93	glmnet	1	2	start
25.7309685133519	2	glmnet	24.292 +/- 0.366	glmnet	92	glmnet	1	2	start
26.5480271024313	2	glmnet	25.111 +/- 0.362	glmnet	91	glmnet	1	2	start
27.3551215623755	2	glmnet	25.928 +/- 0.355	glmnet	90	glmnet	1	2	start
28.1721801514548	2	glmnet	26.746 +/- 0.353	glmnet	89	glmnet	1	2	start
28.9892387405341	2	glmnet	27.566 +/- 0.349	glmnet	88	glmnet	1	2	start
29.7963332004783	2	glmnet	28.385 +/- 0.344	glmnet	87	glmnet	1	2	start
30.6133917895576	2	glmnet	29.202 +/- 0.344	glmnet	86	glmnet	1	2	start
31.4304503786369	2	glmnet	30.021 +/- 0.338	glmnet	85	glmnet	1	2	start
32.2375448385811	2	glmnet	30.839 +/- 0.333	glmnet	84	glmnet	1	2	start
33.0546034276604	2	glmnet	31.658 +/- 0.330	glmnet	83	glmnet	1	2	start
33.8716620167397	2	glmnet	32.477 +/- 0.327	glmnet	82	glmnet	1	2	start
34.6787564766839	2	glmnet	33.296 +/- 0.320	glmnet	81	glmnet	1	2	start
35.4958150657633	2	glmnet	34.114 +/- 0.317	glmnet	80	glmnet	1	2	start
36.3128736548426	2	glmnet	34.933 +/- 0.313	glmnet	79	glmnet	1	2	start
37.1199681147868	2	glmnet	35.751 +/- 0.310	glmnet	78	glmnet	1	2	start
37.9370267038661	2	glmnet	36.569 +/- 0.308	glmnet	77	glmnet	1	2	start
38.7540852929454	2	glmnet	37.388 +/- 0.303	glmnet	76	glmnet	1	2	start
39.5611797528896	2	glmnet	38.207 +/- 0.297	glmnet	75	glmnet	1	2	start
40.3782383419689	2	glmnet	39.022 +/- 0.294	glmnet	74	glmnet	1	2	start
41.1952969310482	2	glmnet	39.840 +/- 0.290	glmnet	73	glmnet	1	2	start
42.0023913909924	2	glmnet	40.658 +/- 0.283	glmnet	72	glmnet	1	2	start
42.8194499800718	2	glmnet	41.476 +/- 0.281	glmnet	71	glmnet	1	2	start
43.6365085691511	2	glmnet	42.292 +/- 0.278	glmnet	70	glmnet	1	2	start
44.4436030290953	2	glmnet	43.107 +/- 0.276	glmnet	69	glmnet	1	2	start
45.2606616181746	2	glmnet	43.923 +/- 0.277	glmnet	68	glmnet	1	2	start
46.0577919489837	2	glmnet	44.739 +/- 0.268	glmnet	67	glmnet	1	2	start
46.8648864089279	2	glmnet	45.551 +/- 0.264	glmnet	66	glmnet	1	2	start
47.6819449980072	2	glmnet	46.369 +/- 0.262	glmnet	65	glmnet	1	2	start
