yintercept	PANEL
17.4172977281786	1
86.1100039856517	1
17.4172977281786	2
86.1100039856517	2
17.4172977281786	3
86.1100039856517	3
0	4
100	4
0	5
100	5
0	6
100	6
0	7
100	7
0	8
100	8
0	9
100	9
